time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-20T21:56:36.521Z,37.6232,141.8453,52.27,4.6,mb,,121,3.101,0.86,us,us7000dlb0,2021-03-20T22:15:11.040Z,"76 km ENE of Namie, Japan",earthquake,7.8,7.4,0.081,46,reviewed,us,us
2021-03-20T21:19:46.865Z,69.5351,-144.0173,0,3.1,ml,,,,0.59,ak,ak0213n02oxi,2021-03-20T21:32:36.566Z,"68 km SSW of Kaktovik, Alaska",earthquake,,2.8,,,automatic,ak,ak
2021-03-20T20:51:17.671Z,67.1493,-158.3577,36.2,2.9,ml,,,,0.93,ak,ak0213mzo1zr,2021-03-20T21:39:17.040Z,"23 km WNW of Ambler, Alaska",earthquake,,7.8,,,automatic,ak,ak
2021-03-20T20:51:07.409Z,31.68394436,-104.2846181,7.288427734,2.5,ml,24,51,0.09143859003,0.3,tx,tx2021focn,2021-03-22T15:40:55.837Z,"55 km S of Whites City, New Mexico",earthquake,1.09944873,1.632296671,0.1,12,reviewed,tx,tx
2021-03-20T20:22:21.896Z,55.2797,163.1839,10,4.1,mb,,137,3.495,0.84,us,us7000dlak,2021-03-20T22:06:42.040Z,"114 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,12,1.9,0.131,16,reviewed,us,us
2021-03-20T20:17:57.230Z,19.1838333333333,-155.449833333333,31.23,2.65,md,53,132,,0.1,hv,hv72393147,2021-03-20T23:38:48.460Z,"3 km SE of Pāhala, Hawaii",earthquake,0.44,0.59,0.103866011115727,22,reviewed,hv,hv
2021-03-20T20:05:28.550Z,35.3615,-97.93033333,7.28,2.56,ml,99,56,0.1025798703,0.18,ok,ok2021foba,2021-03-23T04:52:42.994Z,"3 km SSE of Union City, Oklahoma",earthquake,,0.3,0.26,30,reviewed,ok,ok
2021-03-20T19:42:14.990Z,17.8935,-66.8488,14,2.83,md,23,209,0.0871,0.14,pr,pr2021079009,2021-03-20T23:23:58.040Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.47,0.64,0.13,13,reviewed,pr,pr
2021-03-20T19:41:01.144Z,16.8511,145.7967,177.8,5.2,mb,,140,1.608,1.18,us,us7000dla9,2021-03-22T19:51:04.197Z,"181 km N of Saipan, Northern Mariana Islands",earthquake,12.6,9,0.089,42,reviewed,us,us
2021-03-20T19:33:43.544Z,39.6386,143.463,33.84,4.2,mb,,143,2.166,0.53,us,us7000dla6,2021-03-20T23:42:43.040Z,"130 km E of Miyako, Japan",earthquake,7.4,6.7,0.11,23,reviewed,us,us
